Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Town Planning Review,2,2,27,28,23,,49%,28%,12%,0.223,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,African Evaluation Journal,1,1,32,31,32,,75%,30%,22%,0.291,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Built Environment Project and Asset Management,1,1,21,22,25,,72%,33%,11%,0.041,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Corporate Social Responsibility and Environmental Management,1,1,4,8,9,3,93%,36%,12%,0.149,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,International Journal of Energy Sector Management,1,1,26,30,28,,83%,22%,17%,0.095,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,International Journal of Housing Markets and Analysis,1,1,30,27,29,,85%,30%,8%,0.088,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Corporate Real Estate,1,1,23,24,24,,27%,30%,12%,0.265,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of European Real Estate Research,1,1,29,26,27,,64%,33%,18%,0.302,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Financial Management of Property and Construction,1,1,28,25,30,,70%,49%,16%,0.149,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Journal of Geographical Systems,1,1,20,21,21,17,52%,34%,20%,0.275,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Letters in Spatial and Resource Sciences,1,1,31,32,31,,65%,28%,21%,0.261,,,,,,,,,,,
REGIONAL STUDIES PLANNING AND ENVIRONMENT,Regional and Federal Studies,1,1,22,20,19,,33%,39%,10%,0.732,,,,,,,,,,,
SECTOR,Annals of Tourism Research,4,4,19,8,6,3,42%,49%,8%,0.236,,,,,,,,,,,
SECTOR,Journal of Service Research,4,4,2,3,1,2,10%,66%,9%,0.164,,,,,,,,,,,
SECTOR,Journal of Travel Research,4,4,4,4,3,4,43%,57%,9%,0.196,,,,,,,,,,,
SECTOR,Tourism Management,4,4,1,1,2,1,51%,48%,11%,0.287,,,,,,,,,,,
SECTOR,Transportation Research Series B: Methodological,4,4,6,5,4,14,46%,55%,16%,0.216,,,,,,,,,,,
SECTOR,Energy Journal,3,3,40,46,28,49,60%,54%,37%,1.843,,,,,,,,,,,
SECTOR,European Sport Management Quarterly,3,3,46,38,38,42,28%,48%,11%,0.247,,,,,,,,,,,
SECTOR,Food Policy,3,3,16,9,12,19,77%,46%,37%,4.7,,,,,,,,,,,
SECTOR,International Journal of Contemporary Hospitality Management,3,3,15,25,13,12,37%,48%,7%,0.068,,,,,,,,,,,
SECTOR,International Journal of Hospitality Management,3,3,9,6,7,7,29%,47%,8%,0.124,,,,,,,,,,,
SECTOR,Journal of Sustainable Tourism,3,3,11,14,18,17,91%,50%,14%,0.559,,,,,,,,,,,
SECTOR,Nonprofit and Voluntary Sector Quarterly,3,3,48,28,34,41,27%,27%,9%,0.292,,,,,,,,,,,
SECTOR,Transportation Research Part A: Policy and Practice,3,3,14,10,9,21,67%,40%,22%,1.097,,,,,,,,,,,
SECTOR,Transportation Research Part D: Transport and Environment,3,3,13,19,21,22,84%,35%,26%,1.034,,,,,,,,,,,
SECTOR,Transportation Research Part E: Logistics and Transportation Review,3,3,10,11,8,15,36%,51%,13%,0.167,,,,,,,,,,,
SECTOR,Annals of Leisure Research,2,2,61,64,73,,27%,24%,9%,0.145,,,,,,,,,,,
SECTOR,Building Research and Information,2,2,18,24,33,30,59%,24%,22%,0.716,,,,,,,,,,,
SECTOR,Cornell Hospitality Quarterly,2,2,38,47,37,34,22%,29%,8%,0.051,,,,,,,,,,,
SECTOR,Current Issues in Tourism,2,2,12,12,19,20,56%,44%,9%,0.218,,,,,,,,,,,
SECTOR,Energy Policy,2,2,8,22,10,16,87%,36%,30%,1.588,,,,,,,,,,,
SECTOR,Environmental Management,2,2,34,60,43,45,89%,34%,45%,0.77,,,,,,,,,,,
SECTOR,Event Management,2,2,94,91,88,,35%,42%,13%,0.042,,,,,,,,,,,
SECTOR,Hospitality and Society,2,2,90,98,84,,38%,30%,10%,0.082,,,,,,,,,,,
SECTOR,International Journal of Strategic Property Management,2,2,65,80,81,62,69%,39%,11%,0.121,,,,,,,,,,,
SECTOR,International Journal of Tourism Research,2,2,35,36,32,35,52%,56%,15%,0.124,,,,,,,,,,,
SECTOR,Journal of Hospitality and Tourism Management,2,1,39,32,36,10,46%,51%,10%,0.068,,,,,,,,,,,
SECTOR,Journal of Hospitality and Tourism Research,2,2,20,16,16,27,33%,43%,15%,0.033,,,,,,,,,,,
SECTOR,Journal of Management in Engineering - ASCE,2,2,23,27,26,31,51%,38%,18%,0.079,,,,,,,,,,,
SECTOR,Journal of Service Management,2,2,7,20,11,11,15%,64%,8%,0.139,,,,,,,,,,,
SECTOR,Journal of Sport Management,2,2,42,35,29,36,14%,33%,4%,0.081,,,,,,,,,,,
SECTOR,Journal of Sports Economics,2,2,67,37,57,65,17%,19%,13%,0.257,,,,,,,,,,,
SECTOR,Journal of Transport Geography,2,2,26,15,17,23,74%,39%,19%,0.856,,,,,,,,,,,
SECTOR,Journal of Travel and Tourism Marketing,2,2,20,30,22,26,28%,47%,10%,0.107,,,,,,,,,,,
SECTOR,Leisure Sciences,2,2,55,45,58,46,34%,24%,10%,0.097,,,,,,,,,,,
SECTOR,Leisure Studies,2,2,50,39,56,52,41%,33%,6%,0.228,,,,,,,,,,,
SECTOR,Marine Policy,2,2,31,41,31,37,85%,45%,48%,1.682,,,,,,,,,,,
SECTOR,Maritime Policy and Management,2,2,30,34,35,43,44%,46%,21%,0.292,,,,,,,,,,,
SECTOR,Museum Management and Curatorship,2,2,97,49,91,,41%,20%,11%,0.21,,,,,,,,,,,
SECTOR,Scandinavian Journal of Hospitality and Tourism,2,2,33,42,39,44,56%,49%,15%,0.25,,,,,,,,,,,
SECTOR,Service Industries Journal,2,2,32,59,40,40,36%,42%,11%,0.109,,,,,,,,,,,
SECTOR,Sport Management Review,2,2,28,13,24,29,24%,35%,9%,0.444,,,,,,,,,,,
SECTOR,Tourism Analysis,2,2,85,96,74,,51%,42%,10%,0.048,,,,,,,,,,,
SECTOR,Tourism Economics,2,2,58,71,53,58,58%,38%,12%,0.191,,,,,,,,,,,
SECTOR,Tourism Geographies,2,2,24,26,27,24,76%,47%,8%,0.376,,,,,,,,,,,
SECTOR,Tourism Management Perspectives,2,2,29,23,30,8,52%,41%,12%,0.162,,,,,,,,,,,
SECTOR,Tourism Planning and Development,2,2,56,72,63,,84%,43%,17%,0.161,,,,,,,,,,,
SECTOR,Tourism Recreation Research,2,2,59,76,52,,59%,46%,11%,0.094,,,,,,,,,,,
SECTOR,Transport Policy,2,2,25,21,20,32,79%,34%,22%,1.343,,,,,,,,,,,
SECTOR,Transport Reviews,2,2,3,2,5,6,69%,33%,19%,3.514,,,,,,,,,,,
SECTOR,Transportation,2,2,27,17,14,28,63%,35%,22%,1.038,,,,,,,,,,,
SECTOR,Voluntas,2,2,68,51,55,56,46%,31%,11%,0.265,,,,,,,,,,,
SECTOR,Advances in Hospitality and Leisure,1,1,104,104,104,,49%,43%,10%,0,,,,,,,,,,,
SECTOR,Anatolia: An International Journal of Tourism and Hospitality Research,1,1,84,93,85,,39%,44%,10%,0.026,,,,,,,,,,,
SECTOR,Asia Pacific Journal of Tourism Research,1,1,49,68,49,50,60%,43%,13%,0.08,,,,,,,,,,,
SECTOR,British Food Journal,1,1,57,75,72,53,47%,31%,18%,0.191,,,,,,,,,,,
SECTOR,Digital Policy Regulation and Governance,1,1,74,81,92,,57%,29%,15%,0.574,,,,,,,,,,,
SECTOR,Engineering Construction and Architectural Management,1,1,53,48,62,33,56%,44%,13%,0.057,,,,,,,,,,,
SECTOR,Facilities,1,1,76,74,76,,51%,33%,24%,0.04,,,,,,,,,,,
SECTOR,International Hospitality Review,1,,,,,,,,,,,,,,,,,,,,
SECTOR,International Journal of Culture Tourism and Hospitality Research,1,1,80,84,78,,50%,31%,11%,0.022,,,,,,,,,,,
SECTOR,International Journal of Event and Festival Management,1,1,83,77,80,,46%,27%,14%,0.102,,,,,,,,,,,
SECTOR,International Journal of Heritage Studies,1,1,69,29,64,63,64%,34%,11%,0.175,,,,,,,,,,,
SECTOR,International Journal of Hospitality and Tourism Administration,1,1,60,85,70,,32%,37%,12%,0.028,,,,,,,,,,,
SECTOR,International Journal of Sport and Society,1,1,,,,,35%,23%,7%,0.037,,,,,,,,,,,
SECTOR,International Journal of Sport Finance,1,1,99,88,90,68,23%,22%,20%,0.012,,,,,,,,,,,
SECTOR,International Journal of Sport Management,1,,,,,,,,,,,,,,,,,,,,
SECTOR,International Journal of Sport Management and Marketing,1,1,102,102,101,,15%,35%,7%,0,,,,,,,,,,,
SECTOR,International Journal of Sport Policy and Politics,1,1,63,55,51,,47%,40%,13%,0.398,,,,,,,,,,,
SECTOR,International Journal of Sports Marketing and Sponsorship,1,1,85,79,83,64,23%,44%,10%,0.029,,,,,,,,,,,
SECTOR,Journal of China Tourism Research,1,1,88,100,78,,56%,52%,7%,0.042,,,,,,,,,,,
SECTOR,Journal of Cleaner Production,1,2,5,7,1,5,86%,36%,31%,0.367,0.367,,,,,,,,,,
SECTOR,Journal of Convention and Event Tourism,1,1,95,89,98,,34%,32%,11%,0.088,,,,,,,,,,,
SECTOR,Journal of Destination Marketing and Management,1,1,22,18,25,18,46%,46%,11%,0.119,,,,,,,,,,,
SECTOR,Journal of Ecotourism,1,1,51,61,65,,96%,46%,30%,0.242,,,,,,,,,,,
SECTOR,Journal of Foodservice Business Research,1,1,87,95,94,,24%,22%,7%,0.024,,,,,,,,,,,
SECTOR,Journal of Heritage Tourism,1,,62,62,67,,80%,27%,10%,0.051,,,,,,,,,,,
SECTOR,Journal of Hospitality and Tourism Education,1,1,91,73,87,,55%,22%,7%,0.027,,,,,,,,,,,
SECTOR,Journal of Hospitality and Tourism Technology,1,1,40,63,45,25,33%,35%,8%,0.066,,,,,,,,,,,
SECTOR,Journal of Hospitality Marketing and Management,1,1,17,33,23,9,27%,48%,7%,0.058,,,,,,,,,,,
SECTOR,Journal of Hospitality Leisure Sport and Tourism Education,1,1,73,54,75,61,61%,26%,9%,0,,,,,,,,,,,
SECTOR,Journal of Human Resources in Hospitality and Tourism,1,1,77,66,65,,47%,37%,12%,0.016,,,,,,,,,,,
SECTOR,Journal of Media Business Studies,1,1,82,87,68,,24%,33%,4%,0.253,,,,,,,,,,,
SECTOR,Journal of Outdoor Recreation and Tourism,1,1,54,53,60,39,71%,30%,28%,0.249,,,,,,,,,,,
SECTOR,Journal of Policy Research in Tourism Leisure and Events,1,1,70,82,77,,63%,39%,13%,0.089,,,,,,,,,,,
SECTOR,Journal of Quality Assurance in Hospitality and Tourism,1,1,65,83,69,,34%,38%,13%,0.014,,,,,,,,,,,
SECTOR,Journal of Sport and Tourism,1,1,70,69,71,,42%,41%,9%,0.114,,,,,,,,,,,
SECTOR,Journal of the Textile Institute,1,1,79,67,89,66,12%,20%,28%,0.015,,,,,,,,,,,
SECTOR,Journal of Transport Economics and Policy,1,2,72,78,59,67,42%,31%,26%,0,,,,,,,,,,,
SECTOR,Journal of Vacation Marketing,1,1,43,44,41,38,31%,47%,20%,0.063,,,,,,,,,,,
SECTOR,Managing Leisure: An International Journal,1,1,96,90,93,,32%,30%,9%,0.205,,,,,,,,,,,
SECTOR,Marine Resource Economics,1,1,45,56,48,54,66%,41%,37%,0.59,,,,,,,,,,,
SECTOR,Maritime Economics and Logistics,1,1,51,40,50,55,45%,41%,21%,0.586,,,,,,,,,,,
SECTOR,Non-Profit Management & Leadership,1,1,64,50,42,57,29%,22%,7%,0.168,,,,,,,,,,,
SECTOR,Nutrition and Food Science,1,1,93,99,102,,49%,15%,22%,0.032,,,,,,,,,,,
SECTOR,PASOS Journal of Tourism and Cultural Heritage,1,1,,,,,71%,14%,9%,0.135,,,,,,,,,,,
SECTOR,Property Management,1,1,99,86,97,,63%,25%,11%,0.076,,,,,,,,,,,
SECTOR,Service Business,1,1,37,43,54,48,20%,38%,8%,0.102,,,,,,,,,,,
SECTOR,Sport Marketing Quarterly,1,1,78,70,82,59,9%,23%,11%,0,,,,,,,,,,,
SECTOR,Sport Business and Management: An International Journal,1,1,91,97,96,,22%,44%,10%,0.041,,,,,,,,,,,
SECTOR,Telecommunications Policy,1,1,36,31,44,47,65%,41%,21%,1.418,,,,,,,,,,,
SECTOR,Tourism Review,1,1,47,52,46,13,54%,45%,9%,0.126,,,,,,,,,,,
SECTOR,Tourism Culture and Communication,1,1,103,103,103,,53%,33%,11%,0.018,,,,,,,,,,,
SECTOR,Tourism: An International Interdisciplinary Journal,1,1,98,94,99,,66%,25%,17%,0.022,,,,,,,,,,,
SECTOR,Tourist Studies,1,2,75,58,61,60,45%,31%,7%,0.03,,,,,,,,,,,
SECTOR,Utilities Policy,1,1,44,57,47,51,69%,32%,30%,0.609,,,,,,,,,,,
SECTOR,Visitor Studies,1,1,89,65,86,,21%,22%,23%,0.016,,,,,,,,,,,
SECTOR,World Leisure Journal,1,1,101,101,100,,49%,35%,12%,0.082,,,,,,,,,,,
SECTOR,Worldwide Hospitality and Tourism Themes,1,1,81,92,95,,82%,32%,26%,0.068,,,,,,,,,,,
SOC SCI,American Journal of Political Science,4*,,7,4,1,6,39%,30%,9%,2.415,,,,,,,,,,,
SOC SCI,American Journal of Sociology,4*,4*,16,7,9,8,46%,38%,8%,0.931,,,,,,,,,,,
SOC SCI,American Political Science Review,4*,,14,5,4,7,41%,34%,10%,3.667,,,,,,,,,,,
SOC SCI,American Sociological Review,4*,4*,4,2,2,2,64%,29%,6%,2.817,,,,,,,,,,,
SOC SCI,Annual Review of Sociology,4*,4*,3,1,5,1,58%,25%,6%,2.408,,,,,,,,,,,
SOC SCI,Environment and Planning D: Society and Space,4,4,21,13,16,23,46%,38%,6%,0.296,,,,,,,,,,,
SOC SCI,International Organization,4,,9,6,3,9,56%,24%,4%,2.609,,,,,,,,,,,
SOC SCI,International Studies Quarterly,4,,54,29,19,37,53%,40%,9%,1.064,,,,,,,,,,,
SOC SCI,Journal of Politics,4,,40,18,8,26,37%,32%,7%,1.303,,,,,,,,,,,
SOC SCI,Risk Analysis,4,4,24,53,62,34,55%,33%,30%,0.75,,,,,,,,,,,
SOC SCI,Social Science and Medicine,4,4,20,35,23,19,66%,38%,31%,0.978,,,,,,,,,,,
SOC SCI,Socio-Economic Review,4,3,27,19,21,15,62%,45%,14%,1.894,,,,,,,,,,,
SOC SCI,Sociology,4,4,23,11,28,32,40%,25%,6%,0.799,,,,,,,,,,,
SOC SCI,Antipode,3,3,18,14,15,21,66%,47%,6%,0.562,,,,,,,,,,,
SOC SCI,British Journal of Sociology,3,3,53,20,41,36,57%,39%,8%,0.645,,,,,,,,,,,
SOC SCI,Business Strategy and the Environment,3,3,6,17,22,5,88%,46%,13%,0.404,,,,,,,,,,,
SOC SCI,Development and Change,3,3,57,48,46,55,75%,55%,13%,1.803,,,,,,,,,,,
SOC SCI,Economy and Society,3,3,45,44,52,42,60%,36%,7%,0.453,,,,,,,,,,,
SOC SCI,Electoral Studies,3,3,76,70,37,62,30%,39%,8%,0.626,,,,,,,,,,,
SOC SCI,Environmental Science & Technology,3,3,1,33,11,3,55%,45%,53%,0.781,,,,,,,,,,,
SOC SCI,Environmental Science and Policy,3,3,8,41,25,12,89%,48%,45%,2.002,,,,,,,,,,,
SOC SCI,European Sociological Review,3,3,35,21,17,29,66%,37%,23%,1.837,,,,,,,,,,,
SOC SCI,Global Networks,3,3,42,46,56,51,59%,42%,5%,0.808,,,,,,,,,,,
SOC SCI,Industrial and Corporate Change,3,3,43,57,33,52,58%,64%,30%,2.493,,,,,,,,,,,
SOC SCI,Journal of Cultural Economy,3,2,82,78,68,61,38%,35%,11%,0.216,,,,,,,,,,,
SOC SCI,Journal of Development Studies,3,3,68,58,65,66,88%,54%,32%,3.458,,,,,,,,,,,
SOC SCI,Journal of European Social Policy,3,3,39,26,44,40,86%,41%,15%,3.099,,,,,,,,,,,
SOC SCI,Journal of Social Policy,3,3,44,30,47,45,78%,32%,6%,3.01,,,,,,,,,,,
SOC SCI,New Political Economy,3,3,25,31,31,33,65%,49%,9%,1.511,,,,,,,,,,,
SOC SCI,Politics and Society,3,3,61,12,36,41,65%,45%,4%,1.065,,,,,,,,,,,
SOC SCI,Progress in Human Geography,3,3,2,3,6,4,35%,31%,5%,0.566,,,,,,,,,,,
SOC SCI,Public Opinion Quarterly,3,3,33,23,14,25,25%,24%,18%,0.949,,,,,,,,,,,
SOC SCI,Quarterly Journal of Political Science,3,3,67,54,7,46,50%,36%,9%,0.965,,,,,,,,,,,
SOC SCI,Research in Social Stratification and Mobility,3,,69,62,49,60,82%,35%,20%,1.464,,,,,,,,,,,
SOC SCI,Review of International Political Economy,3,3,28,32,24,24,70%,62%,10%,1.809,,,,,,,,,,,
SOC SCI,Social Forces,3,3,37,43,20,30,67%,26%,10%,1.089,,,,,,,,,,,
SOC SCI,Social Science Research,3,,56,63,53,54,58%,30%,13%,0.826,,,,,,,,,,,
SOC SCI,Sociological Methodology,3,3,61,59,60,,31%,26%,12%,0.431,,,,,,,,,,,
SOC SCI,Sociological Review,3,3,46,28,30,48,44%,26%,5%,0.285,,,,,,,,,,,
SOC SCI,Sociology of Health and Illness,3,4,49,52,51,50,44%,27%,19%,0.343,,,,,,,,,,,
SOC SCI,Theory Culture and Society,3,3,38,15,42,49,16%,43%,4%,0.086,,,,,,,,,,,
SOC SCI,West European Politics,3,3,17,25,10,31,35%,49%,8%,1.255,,,,,,,,,,,
SOC SCI,World Development,3,3,12,8,1,8,95%,57%,34%,5.374,,,,,,,,,,,
SOC SCI,American Journal of Economics and Sociology,2,2,93,95,93,81,61%,17%,12%,0.222,,,,,,,,,,,
SOC SCI,Capital and Class,2,2,84,71,78,,42%,27%,6%,0.371,,,,,,,,,,,
SOC SCI,Critical Social Policy,2,2,36,39,50,53,81%,24%,6%,1.126,,,,,,,,,,,
SOC SCI,Current Sociology,2,2,60,40,66,59,51%,38%,9%,0.349,,,,,,,,,,,
SOC SCI,Evaluation,2,2,64,56,63,57,35%,25%,24%,1.263,,,,,,,,,,,
SOC SCI,Futures,2,2,34,55,57,44,47%,39%,22%,0.848,,,,,,,,,,,
SOC SCI,Geoforum,2,2,30,51,29,27,73%,43%,11%,0.74,,,,,,,,,,,
SOC SCI,Habitat International,2,,11,42,39,16,90%,45%,31%,0.292,,,,,,,,,,,
SOC SCI,Human Organization,2,2,89,92,84,77,73%,19%,22%,0.152,,,,,,,,,,,
SOC SCI,Information Communication and Society,2,2,10,10,12,11,41%,30%,8%,1.241,,,,,,,,,,,
SOC SCI,International Journal of Development Issues,2,2,95,102,101,,95%,27%,12%,0.189,,,,,,,,,,,
SOC SCI,International Journal of Green Energy,2,2,65,90,79,70,80%,24%,22%,0.031,,,,,,,,,,,
SOC SCI,International Sociology,2,2,78,67,75,73,57%,42%,7%,0.263,,,,,,,,,,,
SOC SCI,Journal of Business Law,2,,,,,,,,,,,,,,,,,,,,
SOC SCI,Journal of Consumer Policy,2,2,76,80,73,,47%,24%,13%,1.35,,,,,,,,,,,
SOC SCI,Journal of Ethnic and Migration Studies,2,1,31,27,32,35,70%,39%,14%,1.327,,,,,,,,,,,
SOC SCI,Journal of Industrial Ecology,2,2,5,47,27,10,99%,40%,32%,2.182,,,,,,,,,,,
SOC SCI,Journal of Law and Society,2,2,91,73,89,76,43%,31%,4%,0.273,,,,,,,,,,,
SOC SCI,Journal of Risk Research,2,2,50,68,70,63,45%,29%,20%,0.72,,,,,,,,,,,
SOC SCI,Kyklos,2,3,72,65,64,69,57%,47%,21%,1.744,,,,,,,,,,,
SOC SCI,Land Use Policy,2,,15,45,35,18,90%,42%,36%,0.865,,,,,,,,,,,
SOC SCI,Parliamentary Affairs,2,2,75,72,61,74,25%,25%,5%,0.909,,,,,,,,,,,
SOC SCI,Political Quarterly,2,2,88,81,72,75,33%,6%,4%,1.06,,,,,,,,,,,
SOC SCI,Political Studies,2,2,48,36,38,56,44%,35%,4%,0.926,,,,,,,,,,,
SOC SCI,Research Evaluation,2,2,32,50,45,47,36%,41%,31%,1.471,,,,,,,,,,,
SOC SCI,Review of Social Economy,2,2,92,94,90,,56%,45%,12%,0.155,,,,,,,,,,,
SOC SCI,Safety Science,2,,13,16,48,20,43%,32%,29%,0.377,,,,,,,,,,,
SOC SCI,Science and Public Policy,2,2,59,76,67,64,59%,40%,28%,1.589,,,,,,,,,,,
SOC SCI,Science and Society,2,2,99,84,95,80,12%,33%,2%,0.025,,,,,,,,,,,
SOC SCI,Science Technology and Society,2,2,86,91,92,79,76%,31%,21%,0.102,,,,,,,,,,,
SOC SCI,Social Networks,2,2,22,38,26,28,28%,42%,18%,0.205,,,,,,,,,,,
SOC SCI,Society and Business Review,2,2,102,100,86,,65%,33%,13%,0.056,,,,,,,,,,,
SOC SCI,Technology in Society,2,,51,60,71,14,62%,42%,17%,0.408,,,,,,,,,,,
SOC SCI,Time and Society,2,2,80,64,76,68,29%,27%,8%,0.148,,,,,,,,,,,
SOC SCI,Area,1,1,47,69,55,58,50%,35%,9%,0.223,,,,,,,,,,,
SOC SCI,Arts and the Market,1,,,,,23%,40%,16%,0.029,,,,,,,,,,,,
SOC SCI,Asia Europe Journal,1,1,83,82,83,78,72%,52%,6%,0.811,,,,,,,,,,,
SOC SCI,China Report,1,,95,96,97,,69%,22%,7%,0.35,,,,,,,,,,,
SOC SCI,Contemporary Education Dialogue,1,,103,97,103,,60%,25%,11%,0.021,,,,,,,,,,,
SOC SCI,Environmental Economics,1,1,106,,,100%,21%,14%,0.036,,,,,,,,,,,,
SOC SCI,Ethnic and Racial Studies,1,1,71,49,58,67,45%,29%,6%,0.422,,,,,,,,,,,
SOC SCI,Evaluation Review,1,,70,83,69,72,35%,16%,26%,0.987,,,,,,,,,,,
SOC SCI,Geographical Journal,1,1,29,66,54,38,75%,42%,18%,0.799,,,,,,,,,,,
SOC SCI,Geopolitics under Globalization,1,,,,,,,,,,,,,,,,,,,,
SOC SCI,Gosudarstvo Religiia Tserkov' v Rossii i za Rubezhom,1,,105,93,100,,24%,9%,11%,0.004,,,,,,,,,,,
SOC SCI,International Journal of Law Crime and Justice,1,1,90,87,87,,45%,37%,15%,0.215,,,,,,,,,,,
SOC SCI,International Journal of Sociology and Social Policy,1,1,85,89,88,,77%,27%,13%,0.384,,,,,,,,,,,
SOC SCI,International Journal of Tourism Policy,1,,93,103,99,,76%,22%,22%,0.011,,,,,,,,,,,
SOC SCI,International Migration Review,1,1,55,34,43,43,72%,40%,16%,1.95,,,,,,,,,,,
SOC SCI,Journal of Asian Security and International Affairs,1,,98,98,96,,65%,38%,8%,0.409,,,,,,,,,,,
SOC SCI,Journal of Globalization and Development,1,1,99,77,98,,78%,43%,32%,1.561,,,,,,,,,,,
SOC SCI,Journal of Humanities and Applied Social Sciences,1,,,,,,,,,,,,,,,,,,,,
SOC SCI,Journal of International Studies,1,1,74,79,81,,65%,42%,23%,0.13,,,,,,,,,,,
SOC SCI,Journal of Leadership Studies,1,1,97,104,94,,18%,13%,10%,0.029,,,,,,,,,,,
SOC SCI,Journal of Studies in International Education,1,1,41,24,34,39,51%,39%,13%,0.45,,,,,,,,,,,
SOC SCI,Journal of Trust Research,1,1,58,85,82,,28%,39%,6%,0.043,,,,,,,,,,,
SOC SCI,Management of Environmental Quality,1,1,63,86,77,,92%,26%,12%,0.093,,,,,,,,,,,
SOC SCI,Millennial Asia,1,,104,101,102,,77%,24%,14%,0.127,,,,,,,,,,,
SOC SCI,Négociations,1,,,,,,,,,,,,,,,,,,,,
SOC SCI,Philosophy of Management,1,,87,99,91,,23%,28%,8%,0.097,,,,,,,,,,,
SOC SCI,Policy Sciences,1,1,26,37,40,22,46%,29%,12%,1.402,,,,,,,,,,,
SOC SCI,Population Studies,1,1,66,61,59,65,55%,59%,36%,1.213,,,,,,,,,,,
SOC SCI,Progress in Development Studies,1,,80,74,80,71,88%,41%,14%,0.651,,,,,,,,,,,
SOC SCI,Review of European Studies,1,1,75,104,,,,,,,,,,,,,,,,,
SOC SCI,Revista Produção e Desenvolvimento,1,,,,,,,,,,,,,,,,,,,,
SOC SCI,She Ji: The Journal of Design Economics and Innovation,1,,73,9,74,,28%,43%,15%,0.379,,,,,,,,,,,
SOC SCI,Studies in Indian Politics,1,1,101,88,85,,60%,33%,8%,0.165,,,,,,,,,,,
SOC SCI,Sustainable Futures,1,,51,,,81%,32%,24%,0.22,,,,,,,,,,,,
SOC SCI,The International Journal of Community and Social Development,1,,79,,,84%,33%,22%,0.594,,,,,,,,,,,,
SOC SCI,Transactions of the Institute of British Geographers,1,1,19,22,13,17,49%,41%,5%,0.515,,,,,,,,,,,
SOC SCI,Valuation Studies,1,,,,,,,,,,,,,,,,,,,,
SOC SCI,Z'GuG Zeitschrift für Gemeinwirtschaft und Gemeinwohl,1,,,,,,,,,,,,,,,,,,,,
STRAT,Strategic Management Journal,4*,4*,1,1,1,1,35%,55%,6%,0.841,,,,,,,,,,,
STRAT,Global Strategy Journal,4,4,3,5,5,3,36%,69%,7%,0.402,,,,,,,,,,,
STRAT,Long Range Planning,4,3,2,2,4,2,25%,53%,12%,0.271,,,,,,,,,,,
STRAT,Strategic Organization,3,3,4,4,3,4,17%,55%,12%,0.228,,,,,,,,,,,
STRAT,Strategy Science,3,,6,18,2,,28%,55%,10%,0.284,,,,,,,,,,,
STRAT,Advances in Strategic Management,2,2,19,13,8,,27%,39%,10%,0.162,,,,,,,,,,,
STRAT,European Journal of Management and Business Economics,2,,9,7,11,,46%,37%,11%,0.073,,,,,,,,,,,
STRAT,Journal of Competitiveness,2,,8,3,9,5,64%,44%,24%,0.082,,,,,,,,,,,
STRAT,Journal of Economics and Management Strategy,2,2,13,8,7,7,19%,54%,29%,1.563,,,,,,,,,,,
STRAT,Journal of Organization Design,2,2,5,9,6,,14%,56%,11%,0.313,,,,,,,,,,,
STRAT,Strategic Change,2,2,17,20,19,,56%,45%,16%,0.185,,,,,,,,,,,
STRAT,Technology Analysis and Strategic Management,2,2,7,11,10,6,63%,29%,14%,0.134,,,,,,,,,,,
STRAT,Central European Management Journal,1,,23,24,23,,33%,17%,10%,0.019,,,,,,,,,,,
STRAT,Foresight,1,1,18,19,21,,61%,26%,20%,0.281,,,,,,,,,,,
STRAT,International Journal of Strategic Decision Sciences,1,,,,,,,,,,,,,,,,,,,,
STRAT,Journal of Advances in Management Research,1,,12,10,16,,48%,19%,18%,0.019,,,,,,,,,,,
STRAT,Journal of Business Models,1,,,,,,,,,,,,,,,,,,,,
STRAT,Journal of Business Strategy,1,1,20,16,18,,41%,36%,21%,0.056,,,,,,,,,,,
STRAT,Journal of Change Management,1,1,11,12,12,,19%,34%,19%,0.394,,,,,,,,,,,
STRAT,Journal of Facilities Management,1,,15,14,20,,52%,25%,12%,0.063,,,,,,,,,,,
STRAT,Journal of Strategic Contracting and Negotiation,1,,,,,,,,,,,,,,,,,,,,
STRAT,Journal of Strategy and Management,1,1,14,15,15,,41%,38%,15%,0.053,,,,,,,,,,,
STRAT,M@n@gement,1,1,21,23,17,,15%,42%,26%,0.032,,,,,,,,,,,
STRAT,Management Review Quarterly,1,1,10,6,14,,30%,28%,8%,0.392,,,,,,,,,,,
